ComplaintId,CaseDisposition,WebsiteDocumentFileName,ClosedDate,totalPosted,totalClosedCase,LastPublishDate
201405588,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201405588_RedactedClosingReport.pdf,03/03/2015,2642,14475,02/01/2024
201405620,Substantiated (Command Discipline A),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201405620_RedactedClosingReport.pdf,03/31/2015,2642,14475,02/01/2024
201405647,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201405647_RedactedClosingReport.pdf,05/27/2015,2642,14475,02/01/2024
201405681,Substantiated (Charges),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201405681_RedactedClosingReport.pdf,06/25/2015,2642,14475,02/01/2024
201405748,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201405748_RedactedClosingReport.pdf,02/23/2015,2642,14475,02/01/2024
201405807,Substantiated (Formalized Training),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201405807_RedactedClosingReport.pdf,07/28/2015,2642,14475,02/01/2024
201405838,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201405838_RedactedClosingReport.pdf,03/03/2015,2642,14475,02/01/2024
201405893,Substantiated (Command Discipline B),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201405893_RedactedClosingReport.pdf,03/03/2015,2642,14475,02/01/2024
201406305,Substantiated (Charges),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201406305_RedactedClosingReport.pdf,06/25/2015,2642,14475,02/01/2024
201406409,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201406409_RedactedClosingReport.pdf,02/09/2015,2642,14475,02/01/2024
201406458,Substantiated (Command Discipline A),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201406458_RedactedClosingReport.pdf,05/15/2015,2642,14475,02/01/2024
201406519,Substantiated (Command Discipline B),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201406519_RedactedClosingReport.pdf,02/26/2015,2642,14475,02/01/2024
201406527,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201406527_RedactedClosingReport.pdf,05/15/2015,2642,14475,02/01/2024
201406717,Substantiated (Command Discipline B),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201406717_RedactedClosingReport.pdf,03/06/2015,2642,14475,02/01/2024
201406792,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201406792_RedactedClosingReport.pdf,03/03/2015,2642,14475,02/01/2024
201406811,Substantiated (Formalized Training),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201406811_RedactedClosingReport.pdf,04/16/2015,2642,14475,02/01/2024
201406989,Substantiated (Formalized Training),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201406989_RedactedClosingReport.pdf,07/28/2015,2642,14475,02/01/2024
201407006,Substantiated (Command Discipline A),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201407006_RedactedClosingReport.pdf,07/29/2015,2642,14475,02/01/2024
201407016,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201407016_RedactedClosingReport.pdf,07/28/2015,2642,14475,02/01/2024
201407082,Substantiated (Command Discipline B),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201407082_RedactedClosingReport.pdf,04/28/2015,2642,14475,02/01/2024
201407155,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201407155_RedactedClosingReport.pdf,06/30/2015,2642,14475,02/01/2024
